,economy,series,2005,2006,2007,2008,2009,2010
0,ABW,SE.PRM.CUAT.FE.ZS,,,,,,90.6268005371094
1,ABW,SE.PRM.CUAT.MA.ZS,,,,,,92.3411331176758
2,ABW,SE.PRM.CUAT.ZS,,,,,,91.4101409912109
3,ABW,SE.SEC.CUAT.LO.FE.ZS,,,,,,58.6979789733887
4,ABW,SE.SEC.CUAT.LO.MA.ZS,,,,,,63.2975883483887
5,ABW,SE.SEC.CUAT.LO.ZS,,,,,,60.799690246582
6,ABW,SE.SEC.CUAT.PO.FE.ZS,,,,,,32.0745887756348
7,ABW,SE.SEC.CUAT.PO.MA.ZS,,,,,,32.1685409545898
8,ABW,SE.SEC.CUAT.PO.ZS,,,,,,32.1175193786621
9,ABW,SE.SEC.CUAT.UP.FE.ZS,,,,,,32.0745887756348
10,ABW,SE.SEC.CUAT.UP.MA.ZS,,,,,,32.1685409545898
11,ABW,SE.SEC.CUAT.UP.ZS,,,,,,32.1175193786621
12,ABW,SE.TER.CUAT.BA.FE.ZS,,,,,,12.8441400527954
13,ABW,SE.TER.CUAT.BA.MA.ZS,,,,,,12.8759202957153
14,ABW,SE.TER.CUAT.BA.ZS,,,,,,12.8586597442627
15,ABW,SE.TER.CUAT.DO.FE.ZS,,,,,,0.0
16,ABW,SE.TER.CUAT.DO.MA.ZS,,,,,,0.0742700025439262
17,ABW,SE.TER.CUAT.DO.ZS,,,,,,0.0339399985969067
18,ALB,SE.PRM.CUAT.FE.ZS,,,,90.0829620361328,,
19,ALB,SE.PRM.CUAT.MA.ZS,,,,94.9630813598633,,
20,ALB,SE.PRM.CUAT.ZS,,,,92.395378112793,,
21,ALB,SE.SEC.CUAT.LO.FE.ZS,,,,78.761848449707,,
22,ALB,SE.SEC.CUAT.LO.MA.ZS,,,,85.0338134765625,,
23,ALB,SE.SEC.CUAT.LO.ZS,,,,81.7337875366211,,
24,ALB,SE.SEC.CUAT.PO.FE.ZS,,,,8.11322975158691,,
25,ALB,SE.SEC.CUAT.PO.MA.ZS,,,,11.7072496414185,,
26,ALB,SE.SEC.CUAT.PO.ZS,,,,9.81624031066895,,
27,ALB,SE.SEC.CUAT.UP.FE.ZS,,,,35.292839050293,,
28,ALB,SE.SEC.CUAT.UP.MA.ZS,,,,44.9927711486816,,
29,ALB,SE.SEC.CUAT.UP.ZS,,,,39.8891105651855,,
30,ALB,SE.TER.CUAT.ST.FE.ZS,,,,8.11322975158691,,
31,ALB,SE.TER.CUAT.ST.MA.ZS,,,,11.7072496414185,,
32,ALB,SE.TER.CUAT.ST.ZS,,,,9.81624031066895,,
33,AND,SE.PRM.CUAT.FE.ZS,,91.551628112793,,,,
34,AND,SE.PRM.CUAT.MA.ZS,,94.3095092773438,,,,
35,AND,SE.PRM.CUAT.ZS,,93.0027923583984,,,,
36,AND,SE.SEC.CUAT.LO.FE.ZS,43.9692001342773,50.273609161377,,,,
37,AND,SE.SEC.CUAT.LO.MA.ZS,43.8568687438965,49.659839630127,,,,
38,AND,SE.SEC.CUAT.LO.ZS,43.9101715087891,49.9506492614746,,,,
39,AND,SE.SEC.CUAT.PO.FE.ZS,27.4296607971191,31.5092697143555,,,,
40,AND,SE.SEC.CUAT.PO.MA.ZS,28.7173404693604,29.5492095947266,,,,
41,AND,SE.SEC.CUAT.PO.ZS,28.1063899993896,30.4779090881348,,,,
42,AND,SE.TER.CUAT.ST.FE.ZS,16.3680191040039,19.0467796325684,,,,
43,AND,SE.TER.CUAT.ST.MA.ZS,17.9466896057129,17.0428504943848,,,,
44,AND,SE.TER.CUAT.ST.ZS,17.1976699829102,17.9923400878906,,,,
45,ARE,SE.PRM.CUAT.FE.ZS,78.3644638061523,,,,,
46,ARE,SE.PRM.CUAT.MA.ZS,73.1957397460938,,,,,
47,ARE,SE.PRM.CUAT.ZS,74.4543304443359,,,,,
48,ARE,SE.SEC.CUAT.LO.FE.ZS,70.8633575439453,,,,,
49,ARE,SE.SEC.CUAT.LO.MA.ZS,60.0724487304688,,,,,
50,ARE,SE.SEC.CUAT.LO.ZS,62.7000503540039,,,,,
51,ARE,SE.SEC.CUAT.PO.FE.ZS,31.1625709533691,,,,,
52,ARE,SE.SEC.CUAT.PO.MA.ZS,19.8238201141357,,,,,
53,ARE,SE.SEC.CUAT.PO.ZS,22.5848197937012,,,,,
54,ARE,SE.SEC.CUAT.UP.FE.ZS,59.8536491394043,,,,,
55,ARE,SE.SEC.CUAT.UP.MA.ZS,43.0029792785645,,,,,
56,ARE,SE.SEC.CUAT.UP.ZS,47.1061515808105,,,,,
57,ARE,SE.TER.CUAT.ST.FE.ZS,25.0718593597412,,,,,
58,ARE,SE.TER.CUAT.ST.MA.ZS,15.6665697097778,,,,,
59,ARE,SE.TER.CUAT.ST.ZS,17.9567699432373,,,,,
60,ARG,SE.PRM.CUAT.FE.ZS,,88.2161865234375,,89.335578918457,90.229377746582,89.4329528808594
61,ARG,SE.PRM.CUAT.MA.ZS,,89.3774719238281,,90.2372512817383,90.6659088134766,91.3202590942383
62,ARG,SE.PRM.CUAT.ZS,,88.7429504394531,,89.7479629516602,90.4299087524414,90.3014526367188
63,ARG,SE.SEC.CUAT.LO.FE.ZS,,47.9628601074219,,50.6395492553711,51.3729705810547,52.2616882324219
64,ARG,SE.SEC.CUAT.LO.MA.ZS,,45.9830589294434,,48.3291206359863,49.0456504821777,50.0854797363281
65,ARG,SE.SEC.CUAT.LO.ZS,,47.064811706543,,49.582878112793,50.3038787841797,51.2602386474609
66,ARG,SE.SEC.CUAT.PO.FE.ZS,,18.1831302642822,,18.9816608428955,19.9750595092773,20.3052196502686
67,ARG,SE.SEC.CUAT.PO.MA.ZS,,13.8298101425171,,15.1869297027588,15.2848196029663,15.8320999145508
68,ARG,SE.SEC.CUAT.PO.ZS,,16.2084293365479,,17.2461490631104,17.820520401001,18.2467708587646
69,ARG,SE.TER.CUAT.ST.FE.ZS,,18.1831302642822,,18.9816608428955,19.9750595092773,20.3052196502686
70,ARG,SE.TER.CUAT.ST.MA.ZS,,13.8298101425171,,15.1869297027588,15.2848196029663,15.8320999145508
71,ARG,SE.TER.CUAT.ST.ZS,,16.2084293365479,,17.2461490631104,17.820520401001,18.2467708587646
72,AUS,SE.PRM.CUAT.FE.ZS,,,,,,99.8637313842773
73,AUS,SE.PRM.CUAT.MA.ZS,,,,,,99.8725204467773
74,AUS,SE.PRM.CUAT.ZS,,,,,,99.8681335449219
75,AUS,SE.SEC.CUAT.LO.FE.ZS,90.2619781494141,90.7767028808594,91.4706420898438,92.020881652832,92.2415390014648,93.3515014648438
76,AUS,SE.SEC.CUAT.LO.MA.ZS,91.4580688476563,91.5124893188477,91.9819488525391,92.6532363891602,92.2357788085938,93.0478820800781
77,AUS,SE.SEC.CUAT.LO.ZS,90.8543014526367,91.1406707763672,91.7246398925781,92.3343505859375,92.2386703491211,93.1995315551758
78,AUS,SE.SEC.CUAT.PO.FE.ZS,36.0757484436035,38.5362205505371,39.5269584655762,42.8230094909668,43.8334503173828,45.1392593383789
79,AUS,SE.SEC.CUAT.PO.MA.ZS,32.2970695495605,32.8628616333008,33.9070281982422,35.8308601379395,37.2594985961914,38.4593200683594
80,AUS,SE.SEC.CUAT.PO.ZS,34.2044906616211,35.7297897338867,36.7352409362793,39.3568687438965,40.5558280944824,41.795711517334
81,AUS,SE.SEC.CUAT.UP.FE.ZS,60.2878189086914,62.5840187072754,64.1781692504883,67.1775436401367,68.2333297729492,70.6021575927734
82,AUS,SE.SEC.CUAT.UP.MA.ZS,69.8715667724609,70.9326705932617,72.2538223266602,73.0506820678711,73.4931106567383,74.991081237793
83,AUS,SE.SEC.CUAT.UP.ZS,65.0338516235352,66.7138366699219,68.1897811889648,70.0889587402344,70.8557434082031,72.7989730834961
84,AUS,SE.TER.CUAT.ST.FE.ZS,33.1277503967285,35.3435401916504,36.0537490844727,38.9198188781738,39.7636108398438,40.8551216125488
85,AUS,SE.TER.CUAT.ST.MA.ZS,30.2264804840088,30.6313209533691,31.3971900939941,32.6640892028809,33.8264389038086,34.1282691955566
86,AUS,SE.TER.CUAT.ST.ZS,31.690990447998,33.0125503540039,33.7405891418457,35.8187408447266,36.8034706115723,37.4880905151367
87,AUT,SE.SEC.CUAT.PO.FE.ZS,20.8884105682373,,20.6135406494141,19.6564807891846,22.9041690826416,23.7724494934082
88,AUT,SE.SEC.CUAT.PO.MA.ZS,27.058780670166,,27.4019508361816,28.1855697631836,28.5659694671631,28.7572498321533
89,AUT,SE.SEC.CUAT.PO.ZS,23.8370304107666,,23.867000579834,23.595760345459,25.6225490570068,26.1673908233643
90,AUT,SE.SEC.CUAT.UP.FE.ZS,66.9239883422852,,64.9115371704102,62.9571800231934,68.0644226074219,69.2499084472656
91,AUT,SE.SEC.CUAT.UP.MA.ZS,82.1544799804688,,83.0205993652344,83.5525894165039,84.1971817016602,84.4569396972656
92,AUT,SE.SEC.CUAT.UP.ZS,74.2021636962891,,73.5906066894531,72.4694595336914,75.810188293457,76.5560989379883
93,AUT,SE.TER.CUAT.ST.FE.ZS,12.5310401916504,,12.0824499130249,10.8792295455933,13.985050201416,14.4146995544434
94,AUT,SE.TER.CUAT.ST.MA.ZS,19.6980400085449,,19.9033603668213,20.2435092926025,20.9372596740723,20.8770408630371
95,AUT,SE.TER.CUAT.ST.ZS,15.9559202194214,,15.8307600021362,15.2042503356934,17.3229904174805,17.5195198059082
96,AZE,SE.PRM.CUAT.FE.ZS,,,95.9921722412109,95.9929504394531,97.6935501098633,97.7731628417969
97,AZE,SE.PRM.CUAT.MA.ZS,,,98.3886489868164,98.4065093994141,99.1300735473633,99.1882476806641
98,AZE,SE.PRM.CUAT.ZS,,,97.1216278076172,97.1324005126953,98.3798065185547,98.4496612548828
99,AZE,SE.SEC.CUAT.LO.FE.ZS,,,89.9843368530273,89.9977035522461,93.7110824584961,93.8406600952148
100,AZE,SE.SEC.CUAT.LO.MA.ZS,,,95.6972274780273,95.7464065551758,97.3860092163086,97.4533386230469
101,AZE,SE.SEC.CUAT.LO.ZS,,,92.6768188476563,92.7116775512695,95.466682434082,95.5677337646484
102,AZE,SE.SEC.CUAT.PO.FE.ZS,,,26.7788600921631,26.8273105621338,25.5131893157959,26.033239364624
103,AZE,SE.SEC.CUAT.PO.MA.ZS,,,40.5953598022461,40.6596717834473,34.5324592590332,34.2644500732422
104,AZE,SE.SEC.CUAT.PO.ZS,,,33.2905693054199,33.3576011657715,29.8219203948975,29.9682292938232
105,AZE,SE.SEC.CUAT.UP.FE.ZS,,,77.9491195678711,77.8922805786133,85.3578796386719,85.5237274169922
106,AZE,SE.SEC.CUAT.UP.MA.ZS,,,88.5581283569336,88.6271209716797,92.1664199829102,92.0536422729492
107,AZE,SE.SEC.CUAT.UP.ZS,,,82.9491424560547,82.9602203369141,88.6104888916016,88.6454010009766
108,AZE,SE.TER.CUAT.BA.FE.ZS,,,11.5420703887939,10.795280456543,,
109,AZE,SE.TER.CUAT.BA.MA.ZS,,,18.6292591094971,17.4555606842041,,
110,AZE,SE.TER.CUAT.BA.ZS,,,14.8822603225708,13.9396095275879,,
111,AZE,SE.TER.CUAT.ST.FE.ZS,,,,,22.9491806030273,23.4601593017578
112,AZE,SE.TER.CUAT.ST.MA.ZS,,,,,27.3628902435303,27.1537094116211
113,AZE,SE.TER.CUAT.ST.ZS,,,,,25.0577201843262,25.2258892059326
114,BEL,SE.PRM.CUAT.FE.ZS,,91.3976135253906,,91.7385711669922,92.1010284423828,91.4206466674805
